method,dataset,mean,std
CTGAN,Adult,0.857,0.004
CTGAN,Beijing,0.978,0.025
CTGAN,Default,0.726,0.012
CTGAN,Diabetes,0.596,0.006
CTGAN,Magic,0.88,0.004
CTGAN,News,0.887,0.024
CTGAN,Shoppers,0.858,0.009
TVAE,Adult,0.86,0.007
TVAE,Beijing,1.009,0.023
TVAE,Default,0.746,0.005
TVAE,Diabetes,0.607,0.005
TVAE,Magic,0.903,0.003
TVAE,News,0.97,0.016
TVAE,Shoppers,0.907,0.004
GReaT,Adult,0.842,0.007
GReaT,Beijing,0.628,0.016
GReaT,Default,0.757,0.005
GReaT,Diabetes,,
GReaT,Magic,0.914,0.003
GReaT,News,,
GReaT,Shoppers,0.904,0.004
STaSy,Adult,0.906,0.001
STaSy,Beijing,0.678,0.015
STaSy,Default,0.756,0.003
STaSy,Diabetes,,
STaSy,Magic,0.934,0.004
STaSy,News,0.87,0.023
STaSy,Shoppers,0.909,0.004
CoDi,Adult,0.809,0.012
CoDi,Beijing,0.8,0.036
CoDi,Default,0.506,0.011
CoDi,Diabetes,0.494,0.028
CoDi,Magic,0.932,0.003
CoDi,News,1.756,0.142
CoDi,Shoppers,0.846,0.016
TabDDPM,Adult,0.907,0.001
TabDDPM,Beijing,0.592,0.011
TabDDPM,Default,0.758,0.004
TabDDPM,Diabetes,0.521,0.008
TabDDPM,Magic,0.935,0.003
TabDDPM,News,4.86,3.04
TabDDPM,Shoppers,0.918,0.005
TabSyn,Adult,0.91,0.001
TabSyn,Beijing,0.664,0.019
TabSyn,Default,0.761,0.004
TabSyn,Diabetes,0.686,0.002
TabSyn,Magic,0.935,0.003
TabSyn,News,0.881,0.027
TabSyn,Shoppers,0.912,0.005
TabDiff,Adult,0.912,0.002
TabDiff,Beijing,0.57,0.014
TabDiff,Default,0.764,0.005
TabDiff,Diabetes,0.693,0.002
TabDiff,Magic,0.937,0.003
TabDiff,News,0.864,0.024
TabDiff,Shoppers,0.917,0.006
Fully Factorized,Adult,0.511,0.056
Fully Factorized,Beijing,1.077,0.039
Fully Factorized,Default,0.508,0.019
Fully Factorized,Diabetes,0.503,0.011
Fully Factorized,Magic,0.486,0.039
Fully Factorized,News,0.933,0.023
Fully Factorized,Shoppers,0.462,0.075
ShallowMixture,Adult,0.91,0.002
ShallowMixture,Beijing,0.572,0.008
ShallowMixture,Default,0.729,0.006
ShallowMixture,Diabetes,0.585,0.005
ShallowMixture,Magic,0.925,0.004
ShallowMixture,News,0.888,0.026
ShallowMixture,Shoppers,0.883,0.006
TabPC,Adult,0.917,0.002
TabPC,Beijing,0.664,0.023
TabPC,Default,0.747,0.006
TabPC,Diabetes,0.689,0.003
TabPC,Magic,0.932,0.003
TabPC,News,0.881,0.016
TabPC,Shoppers,0.895,0.005
