method,dataset,mean,std
CTGAN,Adult,0.8430,0.0010
CTGAN,Beijing,0.8680,0.0010
CTGAN,Default,0.8350,0.0020
CTGAN,Diabetes,0.9450,0.0000
CTGAN,Magic,0.9260,0.0010
CTGAN,News,0.8720,0.0010
CTGAN,Shoppers,0.8980,0.0020
CTGAN,Average,0.8840,
TVAE,Adult,0.9100,0.0000
TVAE,Beijing,0.8770,0.0000
TVAE,Default,0.9690,0.0010
TVAE,Diabetes,0.8830,0.0010
TVAE,Magic,0.9730,0.0010
TVAE,News,0.8790,0.0010
TVAE,Shoppers,0.9520,0.0010
TVAE,Average,0.9200,
GReaT,Adult,0.9560,0.0000
GReaT,Beijing,0.9840,0.0010
GReaT,Default,0.8700,0.0010
GReaT,Diabetes,,
GReaT,Magic,0.9720,0.0010
GReaT,News,,
GReaT,Shoppers,0.9570,0.0020
GReaT,Average,0.9480,
STaSy,Adult,0.9710,0.0010
STaSy,Beijing,0.9870,0.0010
STaSy,Default,0.9410,0.0010
STaSy,Diabetes,,
STaSy,Magic,0.9880,0.0010
STaSy,News,0.9380,0.0010
STaSy,Shoppers,0.9600,0.0010
STaSy,Average,0.9540,
CoDi,Adult,0.7920,0.0000
CoDi,Beijing,0.9750,0.0010
CoDi,Default,0.8900,0.0000
CoDi,Diabetes,0.9340,0.0000
CoDi,Magic,0.9750,0.0010
CoDi,News,0.9240,0.0050
CoDi,Shoppers,0.9240,0.0020
CoDi,Average,0.9160,
TabSyn,Adult,0.9890,0.0010
TabSyn,Beijing,0.9910,0.0000
TabSyn,Default,0.9870,0.0010
TabSyn,Diabetes,0.9800,0.0000
TabSyn,Magic,0.9960,0.0010
TabSyn,News,0.9220,0.0030
TabSyn,Shoppers,0.9850,0.0010
TabSyn,Average,0.9790,
TabDiff,Adult,0.9880,0.0000
TabDiff,Beijing,0.9930,0.0010
TabDiff,Default,0.9880,0.0010
TabDiff,Diabetes,0.9830,0.0000
TabDiff,Magic,0.9940,0.0010
TabDiff,News,0.9200,0.0020
TabDiff,Shoppers,0.9840,0.0010
TabDiff,Average,0.9790,
Fully Factorized,Adult,0.7190,0.0000
Fully Factorized,Beijing,0.7920,0.0000
Fully Factorized,Default,0.6940,0.0000
Fully Factorized,Diabetes,0.9080,0.0000
Fully Factorized,Magic,0.7680,0.0000
Fully Factorized,News,0.7420,0.0000
Fully Factorized,Shoppers,0.8660,0.0000
Fully Factorized,Average,0.7840,
ShallowMixture,Adult,0.9500,0.0010
ShallowMixture,Beijing,0.9700,0.0010
ShallowMixture,Default,0.9560,0.0010
ShallowMixture,Diabetes,0.9360,0.0010
ShallowMixture,Magic,0.9450,0.0010
ShallowMixture,News,0.8220,0.0010
ShallowMixture,Shoppers,0.9320,0.0010
ShallowMixture,Average,0.9300,
TabPC,Adult,0.9980,0.0000
TabPC,Beijing,0.9930,0.0000
TabPC,Default,0.9900,0.0010
TabPC,Diabetes,0.9900,0.0020
TabPC,Magic,0.9950,0.0010
TabPC,News,0.9380,0.0020
TabPC,Shoppers,0.9930,0.0010
TabPC,Average,0.9850,
