method,dataset,mean,std
CTGAN,Adult,9.60e6,
CTGAN,Beijing,9.58e6,
CTGAN,Default,9.66e6,
CTGAN,Diabetes,1.18e7,
CTGAN,Magic,9.56e6,
CTGAN,News,9.89e6,
CTGAN,Shoppers,9.60e6,
CTGAN,Average,9.96e6,
TVAE,Adult,1.07e7,
TVAE,Beijing,1.06e7,
TVAE,Default,1.07e7,
TVAE,Diabetes,1.28e7,
TVAE,Magic,1.06e7,
TVAE,News,1.09e7,
TVAE,Shoppers,1.07e7,
TVAE,Average,1.10e7,
GReaT,Adult,1.21e8,
GReaT,Beijing,1.21e8,
GReaT,Default,1.21e8,
GReaT,Diabetes,,
GReaT,Magic,1.21e8,
GReaT,News,,
GReaT,Shoppers,1.21e8,
GReaT,Average,1.21e8,
STaSy,Adult,4.26e7,
STaSy,Beijing,4.15e7,
STaSy,Default,4.19e7,
STaSy,Diabetes,,
STaSy,Magic,3.85e7,
STaSy,News,4.05e7,
STaSy,Shoppers,4.12e7,
STaSy,Average,5.64e7,
CoDi,Adult,1.19e7,
CoDi,Beijing,1.19e7,
CoDi,Default,1.19e7,
CoDi,Diabetes,1.19e7,
CoDi,Magic,1.19e7,
CoDi,News,1.19e7,
CoDi,Shoppers,1.19e7,
CoDi,Average,1.19e7,
TabDDPM,Adult,1.18e7,
TabDDPM,Beijing,1.17e7,
TabDDPM,Default,1.17e7,
TabDDPM,Diabetes,1.61e7,
TabDDPM,Magic,1.16e7,
TabDDPM,News,1.17e7,
TabDDPM,Shoppers,1.17e7,
TabDDPM,Average,1.23e7,
TabSyn,Adult,1.06e7,
TabSyn,Beijing,1.06e7,
TabSyn,Default,1.07e7,
TabSyn,Diabetes,1.08e7,
TabSyn,Magic,1.06e7,
TabSyn,News,1.09e7,
TabSyn,Shoppers,1.07e7,
TabSyn,Average,1.07e7,
TabDiff,Adult,2.12e7,
TabDiff,Beijing,2.12e7,
TabDiff,Default,2.14e7,
TabDiff,Diabetes,2.16e7,
TabDiff,Magic,2.12e7,
TabDiff,News,2.18e7,
TabDiff,Shoppers,2.13e7,
TabDiff,Average,2.14e7,
Fully Factorized,Adult,1.30e2,
Fully Factorized,Beijing,1.51e2,
Fully Factorized,Default,1.07e2,
Fully Factorized,Diabetes,2.35e3,
Fully Factorized,Magic,2.20e1,
Fully Factorized,News,3.00e2,
Fully Factorized,Shoppers,1.31e2,
Fully Factorized,Average,4.55e2,
Fully Factorized (P),Adult,1.34e2,
Fully Factorized (P),Beijing,1.53e2,
Fully Factorized (P),Default,1.19e2,
Fully Factorized (P),Diabetes,2.35e3,
Fully Factorized (P),Magic,2.40e1,
Fully Factorized (P),News,3.60e2,
Fully Factorized (P),Shoppers,1.45e2,
Fully Factorized (P),Average,4.69e2,
ShallowMixture,Adult,2.70e6,
ShallowMixture,Beijing,7.70e6,
ShallowMixture,Default,2.40e6,
ShallowMixture,Diabetes,4.69e7,
ShallowMixture,Magic,2.50e5,
ShallowMixture,News,3.61e6,
ShallowMixture,Shoppers,2.92e6,
ShallowMixture,Average,9.50e6,
TabPC,Adult,3.31e8,
TabPC,Beijing,7.63e7,
TabPC,Default,1.96e8,
TabPC,Diabetes,3.43e8,
TabPC,Magic,6.00e7,
TabPC,News,1.16e8,
TabPC,Shoppers,1.44e8,
TabPC,Average,1.81e8,
