method,dataset,mean,std
CTGAN,Adult,3978.0,
CTGAN,Beijing,4214.0,
CTGAN,Default,3640.0,
CTGAN,Diabetes,13825.0,
CTGAN,Magic,1881.0,
CTGAN,News,8693.0,
CTGAN,Shoppers,1454.0,
CTGAN,Average,5383.571,
TVAE,Adult,1379.0,
TVAE,Beijing,1573.0,
TVAE,Default,1694.0,
TVAE,Diabetes,4055.0,
TVAE,Magic,797.0,
TVAE,News,4355.0,
TVAE,Shoppers,634.0,
TVAE,Average,2069.571,
GReaT,Adult,16048.0,
GReaT,Beijing,13669.0,
GReaT,Default,25673.0,
GReaT,Diabetes,,
GReaT,Magic,6711.0,
GReaT,News,,
GReaT,Shoppers,6761.0,
GReaT,Average,13772.4,
STaSy,Adult,6353.0,
STaSy,Beijing,6562.0,
STaSy,Default,7687.0,
STaSy,Diabetes,,
STaSy,Magic,4834.0,
STaSy,News,7162.0,
STaSy,Shoppers,4205.0,
STaSy,Average,8400.286,
CoDi,Adult,25634.0,
CoDi,Beijing,27532.0,
CoDi,Default,20341.0,
CoDi,Diabetes,151953.0,
CoDi,Magic,9750.0,
CoDi,News,20607.0,
CoDi,Shoppers,8196.0,
CoDi,Average,37716.143,
TabSyn,Adult,4431.0,
TabSyn,Beijing,4179.0,
TabSyn,Default,5225.0,
TabSyn,Diabetes,9618.0,
TabSyn,Magic,3427.0,
TabSyn,News,5382.0,
TabSyn,Shoppers,3737.0,
TabSyn,Average,5143.0,
TabDiff,Adult,11365.0,
TabDiff,Beijing,14064.0,
TabDiff,Default,14189.0,
TabDiff,Diabetes,30289.0,
TabDiff,Magic,10515.0,
TabDiff,News,16842.0,
TabDiff,Shoppers,7452.0,
TabDiff,Average,14959.429,
Fully Factorized,Adult,1.32,
Fully Factorized,Beijing,1.634,
Fully Factorized,Default,2.986,
Fully Factorized,Diabetes,2.323,
Fully Factorized,Magic,0.534,
Fully Factorized,News,7.179,
Fully Factorized,Shoppers,0.494,
Fully Factorized,Average,2.353,
ShallowMixture,Adult,61.327,
ShallowMixture,Beijing,115.925,
ShallowMixture,Default,164.478,
ShallowMixture,Diabetes,311.255,
ShallowMixture,Magic,18.246,
ShallowMixture,News,196.379,
ShallowMixture,Shoppers,49.944,
ShallowMixture,Average,131.079,
TabPC,Adult,391.677,
TabPC,Beijing,268.667,
TabPC,Default,198.679,
TabPC,Diabetes,566.774,
TabPC,Magic,37.706,
TabPC,News,806.108,
TabPC,Shoppers,62.8,
TabPC,Average,333.202,
