method,dataset,mean,std
CTGAN,Adult,0.0,0.000
CTGAN,Beijing,0.0,0.000
CTGAN,Default,0.0,0.000
CTGAN,Diabetes,0.0,0.000
CTGAN,Magic,0.098,0.003
CTGAN,News,0.0,0.000
CTGAN,Shoppers,0.0,0.000
CTGAN,Average,0.014,
TVAE,Adult,0.0,0.000
TVAE,Beijing,0.0,0.000
TVAE,Default,0.002,0.000
TVAE,Diabetes,0.0,0.000
TVAE,Magic,0.32,0.005
TVAE,News,0.0,0.000
TVAE,Shoppers,0.0,0.000
TVAE,Average,0.046,
GReaT,Adult,,
GReaT,Beijing,0.603,0.003
GReaT,Default,0.244,0.003
GReaT,Diabetes,,
GReaT,Magic,0.272,0.003
GReaT,News,,
GReaT,Shoppers,0.295,0.004
GReaT,Average,0.353,
STaSy,Adult,0.38,0.004
STaSy,Beijing,0.388,0.002
STaSy,Default,0.354,0.003
STaSy,Diabetes,,
STaSy,Magic,0.544,0.005
STaSy,News,0.203,0.003
STaSy,Shoppers,0.142,0.003
STaSy,Average,0.335,
CoDi,Adult,0.0,0.000
CoDi,Beijing,0.0,0.000
CoDi,Default,0.001,0.000
CoDi,Diabetes,0.0,0.000
CoDi,Magic,0.408,0.004
CoDi,News,0.0,0.000
CoDi,Shoppers,0.0,0.000
CoDi,Average,0.059,
TabSyn,Adult,0.823,0.008
TabSyn,Beijing,0.471,0.005
TabSyn,Default,0.434,0.007
TabSyn,Diabetes,0.535,0.004
TabSyn,Magic,0.772,0.008
TabSyn,News,0.026,0.001
TabSyn,Shoppers,0.676,0.008
TabSyn,Average,0.534,
TabDiff,Adult,0.841,0.008
TabDiff,Beijing,0.766,0.006
TabDiff,Default,0.583,0.009
TabDiff,Diabetes,0.703,0.008
TabDiff,Magic,0.764,0.009
TabDiff,News,0.034,0.002
TabDiff,Shoppers,0.724,0.012
TabDiff,Average,0.631,
Fully Factorized,Adult,0.0,0.000
Fully Factorized,Beijing,0.001,0.000
Fully Factorized,Default,0.0,0.000
Fully Factorized,Diabetes,0.047,0.001
Fully Factorized,Magic,0.002,0.000
Fully Factorized,News,0.0,0.000
Fully Factorized,Shoppers,0.0,0.000
Fully Factorized,Average,0.007,
Fully Factorized (P),Adult,0.016,0.000
Fully Factorized (P),Beijing,0.017,0.001
Fully Factorized (P),Default,0.0,0.000
Fully Factorized (P),Diabetes,0.05,0.001
Fully Factorized (P),Magic,0.005,0.000
Fully Factorized (P),News,0.0,0.000
Fully Factorized (P),Shoppers,0.022,0.001
Fully Factorized (P),Average,0.016,
ShallowMixture,Adult,0.823,0.008
ShallowMixture,Beijing,0.733,0.006
ShallowMixture,Default,0.098,0.004
ShallowMixture,Diabetes,0.156,0.003
ShallowMixture,Magic,0.633,0.009
ShallowMixture,News,0.0,0.000
ShallowMixture,Shoppers,0.297,0.007
ShallowMixture,Average,0.391,
TabPC,Adult,0.857,0.006
TabPC,Beijing,0.532,0.006
TabPC,Default,0.262,0.004
TabPC,Diabetes,0.756,0.007
TabPC,Magic,0.858,0.008
TabPC,News,0.088,0.004
TabPC,Shoppers,0.894,0.012
TabPC,Average,0.607,
